county,precinct,office,district,party,candidate,votes,election_day,mail
Santa Clara,0002001,Registered Voters,,,,9,,
Santa Clara,0002002,Registered Voters,,,,2731,,
Santa Clara,0002005,Registered Voters,,,,1751,,
Santa Clara,0002006,Registered Voters,,,,81,,
Santa Clara,0002009,Registered Voters,,,,4365,,
Santa Clara,0002013,Registered Voters,,,,3559,,
Santa Clara,0002014,Registered Voters,,,,3297,,
Santa Clara,0002018,Registered Voters,,,,142,,
Santa Clara,0002025,Registered Voters,,,,4073,,
Santa Clara,0002043,Registered Voters,,,,3095,,
Santa Clara,0002046,Registered Voters,,,,4236,,
Santa Clara,0002057,Registered Voters,,,,3967,,
Santa Clara,0002068,Registered Voters,,,,3755,,
Santa Clara,0002098,Registered Voters,,,,4126,,
Santa Clara,0002108,Registered Voters,,,,3462,,
Santa Clara,0002125,Registered Voters,,,,366,,
Santa Clara,0002274,Registered Voters,,,,276,,
Santa Clara,0002275,Registered Voters,,,,1173,,
Santa Clara,0002278,Registered Voters,,,,1128,,
Santa Clara,0002281,Registered Voters,,,,6,,
Santa Clara,0002282,Registered Voters,,,,1413,,
Santa Clara,0002285,Registered Voters,,,,2532,,
Santa Clara,0002301,Registered Voters,,,,3636,,
Santa Clara,0002305,Registered Voters,,,,4846,,
Santa Clara,0002309,Registered Voters,,,,1231,,
Santa Clara,0002314,Registered Voters,,,,2828,,
Santa Clara,0002317,Registered Voters,,,,2707,,
Santa Clara,0002330,Registered Voters,,,,4245,,
Santa Clara,0002338,Registered Voters,,,,167,,
Santa Clara,0002351,Registered Voters,,,,2398,,
Santa Clara,0002353,Registered Voters,,,,43,,
Santa Clara,0002539,Registered Voters,,,,258,,
Santa Clara,0002542,Registered Voters,,,,2081,,
Santa Clara,0002545,Registered Voters,,,,2367,,
Santa Clara,0002720,Registered Voters,,,,1633,,
Santa Clara,0002721,Registered Voters,,,,1433,,
Santa Clara,0002723,Registered Voters,,,,3283,,
Santa Clara,0002724,Registered Voters,,,,2596,,
Santa Clara,0002725,Registered Voters,,,,2504,,
Santa Clara,0002726,Registered Voters,,,,1642,,
Santa Clara,0002727,Registered Voters,,,,1809,,
Santa Clara,0002729,Registered Voters,,,,1933,,
Santa Clara,0002734,Registered Voters,,,,2730,,
Santa Clara,0002740,Registered Voters,,,,3015,,
Santa Clara,0002751,Registered Voters,,,,25,,
Santa Clara,0002761,Registered Voters,,,,4,,
Santa Clara,0002802,Registered Voters,,,,2580,,
Santa Clara,0002808,Registered Voters,,,,107,,
Santa Clara,0002810,Registered Voters,,,,24,,
Santa Clara,0002811,Registered Voters,,,,37,,
Santa Clara,0002812,Registered Voters,,,,303,,
Santa Clara,0002813,Registered Voters,,,,255,,
Santa Clara,0002816,Registered Voters,,,,25,,
Santa Clara,0002825,Registered Voters,,,,30,,
Santa Clara,0002870,Registered Voters,,,,133,,
Santa Clara,0002951,Registered Voters,,,,323,,
Santa Clara,0003001,Registered Voters,,,,3173,,
Santa Clara,0003002,Registered Voters,,,,3009,,
Santa Clara,0003005,Registered Voters,,,,57,,
Santa Clara,0003008,Registered Voters,,,,38,,
Santa Clara,0003010,Registered Voters,,,,2810,,
Santa Clara,0003011,Registered Voters,,,,2533,,
Santa Clara,0003012,Registered Voters,,,,134,,
Santa Clara,0003013,Registered Voters,,,,3482,,
Santa Clara,0003016,Registered Voters,,,,1009,,
Santa Clara,0003017,Registered Voters,,,,793,,
Santa Clara,0003018,Registered Voters,,,,423,,
Santa Clara,0003019,Registered Voters,,,,3485,,
Santa Clara,0003021,Registered Voters,,,,317,,
Santa Clara,0003023,Registered Voters,,,,2854,,
Santa Clara,0003026,Registered Voters,,,,2113,,
Santa Clara,0003029,Registered Voters,,,,0,,
Santa Clara,0003031,Registered Voters,,,,1,,
Santa Clara,0003032,Registered Voters,,,,1642,,
Santa Clara,0003034,Registered Voters,,,,3422,,
Santa Clara,0003035,Registered Voters,,,,2557,,
Santa Clara,0003039,Registered Voters,,,,1739,,
Santa Clara,0003040,Registered Voters,,,,0,,
Santa Clara,0003042,Registered Voters,,,,1879,,
Santa Clara,0003043,Registered Voters,,,,3029,,
Santa Clara,0003045,Registered Voters,,,,3911,,
Santa Clara,0003047,Registered Voters,,,,1215,,
Santa Clara,0003048,Registered Voters,,,,3686,,
Santa Clara,0003051,Registered Voters,,,,2555,,
Santa Clara,0003053,Registered Voters,,,,3027,,
Santa Clara,0003061,Registered Voters,,,,101,,
Santa Clara,0003079,Registered Voters,,,,668,,
Santa Clara,0003080,Registered Voters,,,,1072,,
Santa Clara,0003086,Registered Voters,,,,3417,,
Santa Clara,0003087,Registered Voters,,,,1575,,
Santa Clara,0003089,Registered Voters,,,,0,,
Santa Clara,0003095,Registered Voters,,,,5,,
Santa Clara,0003101,Registered Voters,,,,171,,
Santa Clara,0003102,Registered Voters,,,,613,,
Santa Clara,0003103,Registered Voters,,,,1401,,
Santa Clara,0003116,Registered Voters,,,,925,,
Santa Clara,0003117,Registered Voters,,,,1009,,
Santa Clara,0003120,Registered Voters,,,,627,,
Santa Clara,0003122,Registered Voters,,,,2549,,
Santa Clara,0003156,Registered Voters,,,,178,,
Santa Clara,0003402,Registered Voters,,,,3488,,
Santa Clara,0003406,Registered Voters,,,,3417,,
Santa Clara,0003407,Registered Voters,,,,3434,,
